name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
AMPGO02,exception,1,3,15,0,0,0,1,8,10,0,0,0
AMPGO03,exception,0,9,21,0,1,0,1,14,13,0,0,0
AMPGO04,first_order,0,2,6,0,0,0,1,3,6,0,0,0
AMPGO05,exception,0,6,23,0,0,0,4,16,11,0,0,0
AMPGO06,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO08,exception,0,6,18,0,1,0,1,11,11,0,0,0
AMPGO09,first_order,0,2,5,0,0,0,1,3,5,0,0,0
AMPGO10,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO11,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO12,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO14,first_order,2,3,6,0,0,0,2,3,3,0,0,0
AMPGO15,first_order,3,60,4514,2,0,0,56,4563,7,48,0,0
AMPGO20,first_order,0,0,1,0,0,0,0,0,1,0,0,0
AMPGO21,exception,0,2,12,0,0,0,1,8,7,0,0,0
AMPGO22,exception,1,9,21,0,0,0,6,16,9,0,0,0
BOX3,first_order,4,787,8190,4,130,0,61,5438,499,0,0,0
Dus2_1,first_order,4,5,9,0,0,0,6,7,5,0,0,0
Dus2_3,exception,7,7,6,0,0,0,6,3,6,0,0,0
Dus2_9,exception,0,3,10,0,0,0,1,6,7,0,0,0
Duscube,first_order,1,3,6,0,0,0,2,4,5,0,0,0
NZF1,exception,1,233,6889,1,3,0,61,3399,1845,0,0,0
Shpak1,exception,1,3,15,0,0,0,1,8,10,0,0,0
Shpak2,exception,0,5,14,0,0,0,1,11,8,0,0,0
Shpak3,exception,0,8,7,0,0,0,2,3,6,0,0,0
Shpak4,exception,0,2,9,0,0,0,1,4,7,0,0,0
Shpak5,exception,8,11,6,8,0,0,2,4,4,2,0,0
Shpak6,exception,8,15,10,8,0,0,4,9,6,4,0,0
allinitu,exception,1,6,13,0,0,0,4,9,8,0,0,0
arglina,exception,0,3,5,0,0,0,1,3,4,0,0,0
arglinb,first_order,0,8,7,0,0,0,5,10,6,5,0,0
arglinc,first_order,0,10,8,0,0,0,5,11,7,5,0,0
argtrig,exception,5,27,467,0,0,0,12,286,91,0,0,0
arwhead,exception,0,13,196,0,5,0,1,100,48,0,0,0
bard,exception,18,77,84,18,1,0,3,5,11,2,0,0
bdqrtic,first_order,11,65,3131,7,0,0,32,2479,788,0,0,0
beale,first_order,12,515,605,5,51,0,18,475,347,0,0,0
biggs6,exception,2,3,3,1,1,0,2,2,2,1,0,0
boxbod,exception,5,8,3,3,1,0,7,1,2,0,0,0
brownal,first_order,1,9,13,1,1,0,2,11,11,0,0,0
brownbs,max_iter,0,961,9165,0,58,0,119,7132,2,119,0,0
brownden,exception,0,1385,8283,0,10,0,3,5474,2917,3,0,0
broyden3d,first_order,1,40,47,0,1,0,4,32,31,0,0,0
brybnd,first_order,3,16,14,0,1,0,4,15,13,0,0,0
chainwoo,max_iter,17,1028,9030,11,18,0,50,4920,2522,0,0,0
chnrosnb,max_iter,5,9692,412,0,6,0,224,6246,78,0,0,0
chwirut1,exception,12,126,92,12,3,0,69,125,50,69,0,0
chwirut2,exception,18,125,80,18,2,0,69,122,44,69,0,0
cliff,first_order,14,11,2,0,0,0,22,15,1,13,0,0
clplatea,exception,3,371,1235,3,25,0,88,833,477,0,0,0
clplateb,exception,2,403,1284,2,14,0,102,1098,542,0,0,0
